articulo_norm,cod_producto,match_name,score
CORTADO 450G,000084,DULCE CORTADO 450gr,0.774
MANJAR CORTADO MINI,000086,DULCE CORTADO MINI - 40gr,0.619
BREVA MANJAR 250G,000085,DULCE MANJAR MINI - 40gr,0.564
PLATICO NAVIDE O,000113,PLATO NAVIDEÑO PEQUEÑO,0.737
MANJAR BLANCO 125G,000088,MANJAR BLANCO 120 gr,0.895
CORTADO 125G,000089,DULCE CORTADO - 120 gr,0.688
AGUA BRISA 280ML,000090,AGUA BRISA 280ml,1.0
0,000001,POLEN X80GR,0.167
ARROZ CON LECHE GR,000020,ARROZ CON LECHE 4oz,0.865
AGUA PEQUE A,000039,DESAMARGADO PEQUEÑO,0.645
MR TEA,000076,AROMÁTICA ,0.533
